c_Aduana,Descripción,"Fecha_Inicio_Vigencia	",Fecha_Fin_Vigencia
1,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO.",01/01/2022,
2,"AGUA PRIETA, AGUA PRIETA, SONORA.",01/01/2022,
5,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO.",01/01/2022,
6,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE.",01/01/2022,
7,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA.",01/01/2022,
8,"COATZACOALCOS, COATZACOALCOS, VERACRUZ.",01/01/2022,
11,"ENSENADA, ENSENADA, BAJA CALIFORNIA.",01/01/2022,
12,"GUAYMAS, GUAYMAS, SONORA.",01/01/2022,
14,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR.",01/01/2022,
16,"MANZANILLO, MANZANILLO, COLIMA.",01/01/2022,
17,"MATAMOROS, MATAMOROS, TAMAULIPAS.",01/01/2022,
18,"MAZATLAN, MAZATLAN, SINALOA.",01/01/2022,
19,"MEXICALI, MEXICALI, BAJA CALIFORNIA.",01/01/2022,
20,"MEXICO, DISTRITO FEDERAL.",01/01/2022,
22,"NACO, NACO, SONORA.",01/01/2022,
23,"NOGALES, NOGALES, SONORA.",01/01/2022,
24,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.",01/01/2022,
25,"OJINAGA, OJINAGA, CHIHUAHUA.",01/01/2022,
26,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA.",01/01/2022,
27,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA.",01/01/2022,
28,"PROGRESO, PROGRESO, YUCATAN.",01/01/2022,
30,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS.",01/01/2022,
31,"SALINA CRUZ, SALINA CRUZ, OAXACA.",01/01/2022,
33,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA.",01/01/2022,
34,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS.",01/01/2022,
37,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS.",01/01/2022,
38,"TAMPICO, TAMPICO, TAMAULIPAS.",01/01/2022,
39,"TECATE, TECATE, BAJA CALIFORNIA.",01/01/2022,
40,"TIJUANA, TIJUANA, BAJA CALIFORNIA.",01/01/2022,
42,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ.",01/01/2022,
43,"VERACRUZ, VERACRUZ, VERACRUZ.",01/01/2022,
44,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA.",01/01/2022,
46,"TORREON, TORREON, COAHUILA.",01/01/2022,
47,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,",01/01/2022,
48,"GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO.",01/01/2022,
50,"SONOYTA, SONOYTA, SONORA.",01/01/2022,
51,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN.",01/01/2022,
52,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON.",01/01/2022,
53,"CANCUN, CANCUN, QUINTANA ROO.",01/01/2022,
64,"QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO.",01/01/2022,
65,"TOLUCA, TOLUCA, ESTADO DE MEXICO.",01/01/2022,
67,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA.",01/01/2022,
73,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES.",01/01/2022,
75,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA.",01/01/2022,
80,"COLOMBIA, COLOMBIA, NUEVO LEON.",01/01/2022,
81,"ALTAMIRA, ALTAMIRA, TAMAULIPAS.",01/01/2022,
82,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS.",01/01/2022,
83,"DOS BOCAS, PARAISO, TABASCO.",01/01/2022,
84,"GUANAJUATO, SILAO, GUANAJUATO.",01/01/2022,
85,"AEROPUERTO INTERNACIONAL FELIPE ÁNGELES, SANTA LUCÍA, ZUMPANGO, ESTADO DE MÉXICO.",13/01/2023,
