c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Descripción del Huso Horario,Mes_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Diferencia_Horaria_Verano,Mes_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Diferencia_Horaria_Invierno
20000,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20001,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20002,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20003,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20004,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20005,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20006,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20007,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20008,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20009,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20010,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20011,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20012,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20013,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20014,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20015,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20016,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20017,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20018,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20019,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20020,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20021,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20022,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20023,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20024,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20025,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20026,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20027,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20028,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20029,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20030,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20031,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20032,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20033,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
