c_Colonia,c_CodigoPostal,Nombre del asentamiento
1,1000,San Ángel
1,16514,Tetitla la Gallera
1,20000,Zona Centro
1,20339,San José (San José de los Rodríguez)
1,20406,Rinconada de las Piedras
1,20656,Carboneras
1,20680,Las Ánimas
1,20700,Guadalupe
1,20854,Parque Industrial Calvillo
1,20926,Rincón del Pilar
1,21000,Centro Cívico
1,21453,Piedra Angular
1,22126,Cañón Palmas
1,22706,Colinas de Mazatlán
1,22785,Siena Residencial
1,23000,Zona Central
1,23462,Leonardo Gastélum Quinta Etapa
1,23620,Vargas
1,24000,San Francisco de Campeche Centro
1,24153,Residencial Las Palmas
1,24207,Cronos
1,24344,Tres de Mayo Tres
1,24353,Miguel Hidalgo (Caracol)
1,24640,Bellavista
1,24933,Los Tres Reyes
1,25000,Saltillo Zona Centro
1,25352,Autopista
1,25743,Las Misiones
1,25903,Rincón del Valle
1,26015,Los Laureles
1,26174,El Manantial
1,26234,Veracruz
1,26350,Armando Guadiana Tijerina
1,26510,Álvaro Luna
1,26729,La Capilla
1,26820,Mina Siete
1,27087,Quintas los Nogales
1,27448,Ladrillera
1,27545,Chula Vista
1,27905,Residencial Paraíso
1,27987,Rogelio Montemayor
1,28000,Colima Centro
1,28134,San Ignacio
1,28307,Hacienda las Primaveras
1,28400,Valle de las Huertas
1,28507,Valle Real
1,28700,Los Gobernadores
1,28750,27 de Octubre
1,28864,Almendros Residencial II
1,28978,Residencial Bosque Real
1,29000,Tuxtla Gutiérrez Centro
1,29127,El Carmelo
1,29130,Lomas del Pedregal
1,29148,Salvador Urbina
1,29150,Nandayalu
1,29180,Cabeza de Agua (San Antonio)
1,29300,Las Palmas Huitepec 3a. Sección
1,29326,Pajaltón Bajo
1,29345,Nuevo Porvenir
1,29369,Chiquinivalvo
1,29405,Laguna del Carmen
1,29416,Benito Juárez
1,29439,San Caralampio Chavín
1,29446,La Mendoza
1,29454,El Tzay
1,29474,San Pedro la Tejería
1,29489,Chuljá
1,29490,Xoctón (Xoctoctic)
1,29500,Nueva Esperanza
1,29540,Nuevo Sunuapa
1,29553,Playa de Piedra 2da. Sección
1,29560,Rivera el Viejo Carmen
1,29572,Loma de Caballo 2a. Sección
1,29586,Álvaro Obregón
1,29596,Nuevo Poblado Llanos Morelos
1,29610,El Edén
1,29620,San Francisco
1,29660,San Juan
1,29670,Magdalena
1,29684,San José Plan Ocotal
1,29706,Miguel Hidalgo
1,29710,Arroyo Sabinal
1,29729,Monte Chico
1,29744,La Unión Nueva
1,29753,Santa Rita
1,29760,Xitoltepeque
1,29770,Guadalupe I
1,29795,San José Chacté
1,29816,Jesús Carranza
1,29840,San Isidro
1,29853,Jolik-alum
1,29863,Meonho
1,29876,Canolal
1,29884,Las Limas
1,29890,Don Pedro
1,29903,Arroyo Palenque
1,29917,Esperanza Ocotal
1,29920,Santa Bárbara
1,29926,San Vicente
1,29943,San Miguel Catarraya
1,29954,Ramón F. Balboa
1,29962,El Retiro
