c_Municipio,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia
001,AGU,Aguascalientes,01/01/2022,
001,BCN,Ensenada,01/01/2022,
001,BCS,Comondú,01/01/2022,
001,CAM,Calkiní,01/01/2022,
001,COA,Abasolo,01/01/2022,
001,COL,Armería,01/01/2022,
001,CHH,Ahumada,01/01/2022,
001,CHP,Acacoyagua,01/01/2022,
001,DUR,Canatlán,01/01/2022,
001,GRO,Acapulco de Juárez,01/01/2022,
001,GUA,Abasolo,01/01/2022,
001,HID,Acatlán,01/01/2022,
001,JAL,Acatic,01/01/2022,
001,MEX,Acambay de Ruíz Castañeda,01/01/2022,
001,MIC,Acuitzio,01/01/2022,
001,MOR,Amacuzac,01/01/2022,
001,NAY,Acaponeta,01/01/2022,
001,NLE,Abasolo,01/01/2022,
001,OAX,Abejones,01/01/2022,
001,PUE,Acajete,01/01/2022,
001,QUE,Amealco de Bonfil,01/01/2022,
001,ROO,Cozumel,01/01/2022,
001,SIN,Ahome,01/01/2022,
001,SLP,Ahualulco,01/01/2022,
001,SON,Aconchi,01/01/2022,
001,TAB,Balancán,01/01/2022,
001,TAM,Abasolo,01/01/2022,
001,TLA,Amaxac de Guerrero,01/01/2022,
001,VER,Acajete,01/01/2022,
001,YUC,Abalá,01/01/2022,
001,ZAC,Apozol,01/01/2022,
002,AGU,Asientos,01/01/2022,
002,BCN,Mexicali,01/01/2022,
002,BCS,Mulegé,01/01/2022,
002,CAM,Campeche,01/01/2022,
002,COA,Acuña,01/01/2022,
002,COL,Colima,01/01/2022,
002,CHH,Aldama,01/01/2022,
002,CHP,Acala,01/01/2022,
002,CMX,Azcapotzalco,01/01/2022,
002,DUR,Canelas,01/01/2022,
002,GRO,Ahuacuotzingo,01/01/2022,
002,GUA,Acámbaro,01/01/2022,
002,HID,Acaxochitlán,01/01/2022,
002,JAL,Acatlán de Juárez,01/01/2022,
002,MEX,Acolman,01/01/2022,
002,MIC,Aguililla,01/01/2022,
002,MOR,Atlatlahucan,01/01/2022,
002,NAY,Ahuacatlán,01/01/2022,
002,NLE,Agualeguas,01/01/2022,
002,OAX,Acatlán de Pérez Figueroa,01/01/2022,
002,PUE,Acateno,01/01/2022,
002,QUE,Pinal de Amoles,01/01/2022,
002,ROO,Felipe Carrillo Puerto,01/01/2022,
002,SIN,Angostura,01/01/2022,
002,SLP,Alaquines,01/01/2022,
002,SON,Agua Prieta,01/01/2022,
002,TAB,Cárdenas,01/01/2022,
002,TAM,Aldama,01/01/2022,
002,TLA,Apetatitlán de Antonio Carvajal,01/01/2022,
002,VER,Acatlán,01/01/2022,
002,YUC,Acanceh,01/01/2022,
002,ZAC,Apulco,01/01/2022,
003,AGU,Calvillo,01/01/2022,
003,BCN,Tecate,01/01/2022,
003,BCS,La Paz,01/01/2022,
003,CAM,Carmen,01/01/2022,
